Soil Type,pH Level,Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Temperature (°C),Humidity (%),Rainfall (mm),Sunlight Exposure (h),Crop Type,Crop Growth (%)
Loamy,6.5,55,18,130,28,70,120,8,Wheat,82
Sandy,5.8,30,12,90,32,55,60,10,Maize,65
Clayey,7.2,70,22,160,25,80,200,6,Rice,88
Loamy,6.8,60,20,140,27,68,110,9,Wheat,85
Silty,6.1,45,15,110,30,62,80,9,Soybeans,74
Sandy,5.5,25,10,80,35,50,40,11,Cotton,58
Loamy,7.0,65,21,150,26,75,150,7,Rice,90
Clayey,6.3,48,16,120,29,72,130,8,Soybeans,77
Sandy,6.0,35,13,95,33,58,55,10,Maize,68
Loamy,6.7,58,19,135,28,69,115,8,Wheat,83
Peaty,5.2,38,11,85,22,85,250,5,Rice,79
Silty,6.4,50,17,125,29,65,95,9,Soybeans,72
Clayey,7.5,72,24,165,24,82,220,6,Rice,91
Sandy,6.2,32,11,88,34,52,50,11,Cotton,60
Loamy,6.9,62,20,145,27,71,118,8,Wheat,86
Silty,6.0,44,14,108,31,60,85,9,Maize,70
Clayey,6.6,66,22,155,26,78,175,7,Rice,87
Loamy,6.3,53,17,128,29,67,105,8,Soybeans,76
Sandy,5.9,28,11,82,33,54,45,10,Cotton,56
Loamy,7.1,68,23,158,25,76,155,7,Rice,89
Peaty,5.4,40,12,88,23,87,270,5,Rice,81
Silty,6.5,52,17,122,30,64,90,9,Soybeans,73
Clayey,7.3,74,25,170,24,83,230,6,Rice,92
Sandy,6.1,33,12,91,34,51,48,11,Cotton,59
Loamy,6.8,61,20,142,28,70,112,8,Wheat,84
Silty,6.2,46,15,112,30,63,82,9,Maize,71
Clayey,6.8,68,22,158,26,79,180,7,Rice,88
Loamy,6.4,55,18,132,29,68,108,8,Soybeans,78
Sandy,5.7,27,10,78,35,48,38,11,Cotton,55
Loamy,7.0,66,22,148,26,74,148,7,Wheat,87
